og	go	type	evidence
52746at2759	GO:0006914	P	IEA
52746at2759	GO:0008289	F	IEA
52746at2759	GO:0012505	C	IEA
52746at2759	GO:0043130	F	IEA
52746at2759	GO:0045087	P	IEA
54215at2759	GO:0000166	F	IEA
54215at2759	GO:0005524	F	IEA
54215at2759	GO:0005634	C	IEA
54215at2759	GO:0006338	P	IEA
54215at2759	GO:0008094	F	IEA
54215at2759	GO:0097159	F	IEA
54215at2759	GO:0140658	F	IEA
54215at2759	GO:1901363	F	IEA
552415at2759	GO:0016020	C	IEA
552415at2759	GO:0016021	C	IEA
552415at2759	GO:0022857	F	IEA
552415at2759	GO:0055085	P	IEA
552726at2759	GO:0005794	C	IEA
552726at2759	GO:0016020	C	IEA
584068at2759	GO:0004842	F	IEA
584068at2759	GO:0005634	C	IBA
584068at2759	GO:0005737	C	IBA
584068at2759	GO:0016567	P	IEA
590036at2759	GO:0016811	F	IEA
682656at2759	GO:0000166	F	IEA
682656at2759	GO:0003924	F	IEA
682656at2759	GO:0005525	F	IEA
682656at2759	GO:0006412	P	IEA
685597at2759	GO:0000956	P	IEA
685597at2759	GO:0003676	F	IEA
685597at2759	GO:0004518	F	IEA
685597at2759	GO:0004527	F	IEA
685597at2759	GO:0004534	F	IEA
685597at2759	GO:0005634	C	IEA
685597at2759	GO:0006139	P	IEA
685597at2759	GO:0006353	P	IEA
685597at2759	GO:0006397	P	IEA
